"1059 - PT hombres totales",,,,"CENTRO","NORTE","OCCIDENTE","SUR","NACIONAL",
"2020","2020 Q 3","2020/Aug","1059 - PT hombres totales",3466472,3216815,3456758,1931536,12071581,
"2020","2020 Q 3","2020/Jul","1059 - PT hombres totales",3457644,3190817,3440240,1923939,12012640,
"2020","2020 Q 2","2020/Jun","1059 - PT hombres totales",3458686,3173121,3443628,1928250,12003685,
"2020","2020 Q 2","2020/May","1059 - PT hombres totales",3452485,3179518,3461524,1930216,12023743,
"2020","2020 Q 2","2020/Apr","1059 - PT hombres totales",3525639,3227708,3516677,1988921,12258945,
"2020","2020 Q 1","2020/Mar","1059 - PT hombres totales",3628118,3320496,3613756,2077978,12640348,
"2020","2020 Q 1","2020/Feb","1059 - PT hombres totales",3641904,3344104,3635289,2120347,12741644,
"2020","2020 Q 1","2020/Jan","1059 - PT hombres totales",3626511,3331581,3600537,2109054,12667683,
"2019","2019 Q 4","2019/Dec","1059 - PT hombres totales",3640737,3299056,3563254,2093880,12596927,
"2019","2019 Q 4","2019/Nov","1059 - PT hombres totales",3719357,3372525,3629964,2132574,12854420,
"2019","2019 Q 4","2019/Oct","1059 - PT hombres totales",3709412,3375788,3626943,2117082,12829225,
"2019","2019 Q 3","2019/Sep","1059 - PT hombres totales",3685354,3364499,3593098,2098880,12741831,
"2019","2019 Q 3","2019/Aug","1059 - PT hombres totales",3664800,3352123,3560733,2088811,12666467,
"2019","2019 Q 3","2019/Jul","1059 - PT hombres totales",3662370,3355257,3557962,2087270,12662859,
"2019","2019 Q 2","2019/Jun","1059 - PT hombres totales",3660199,3344968,3558917,2083679,12647763,
"2019","2019 Q 2","2019/May","1059 - PT hombres totales",3660446,3342290,3572243,2093404,12668383,
"2019","2019 Q 2","2019/Apr","1059 - PT hombres totales",3652420,3345712,3588060,2103218,12689410,
"2019","2019 Q 1","2019/Mar","1059 - PT hombres totales",3639975,3348459,3595499,2095525,12679458,
"2019","2019 Q 1","2019/Feb","1059 - PT hombres totales",3638343,3350724,3585005,2096929,12671001,
"2019","2019 Q 1","2019/Jan","1059 - PT hombres totales",3620850,3332571,3551533,2088939,12593893,
"2018","2018 Q 4","2018/Dec","1059 - PT hombres totales",3618473,3300929,3514139,2071428,12504969,
"2018","2018 Q 4","2018/Nov","1059 - PT hombres totales",3708885,3364629,3579963,2112835,12766312,
"2018","2018 Q 4","2018/Oct","1059 - PT hombres totales",3704595,3358498,3565671,2099520,12728284,
