"1044 - PT mujeres totales",,,,"CENTRO","NORTE","OCCIDENTE","SUR","NACIONAL",
"2020","2020 Q 3","2020/Aug","1044 - PT mujeres totales",2305763,1881326,2215789,1113883,7516761,
"2020","2020 Q 3","2020/Jul","1044 - PT mujeres totales",2303857,1862685,2202538,1114232,7483312,
"2020","2020 Q 2","2020/Jun","1044 - PT mujeres totales",2313141,1851387,2202972,1128674,7496174,
"2020","2020 Q 2","2020/May","1044 - PT mujeres totales",2331688,1864098,2219831,1143810,7559427,
"2020","2020 Q 2","2020/Apr","1044 - PT mujeres totales",2352950,1888687,2259688,1167426,7668751,
"2020","2020 Q 1","2020/Mar","1044 - PT mujeres totales",2421272,1920010,2304537,1196776,7842595,
"2020","2020 Q 1","2020/Feb","1044 - PT mujeres totales",2429385,1924705,2308721,1209080,7871891,
"2020","2020 Q 1","2020/Jan","1044 - PT mujeres totales",2419089,1913594,2288327,1201704,7822714,
"2019","2019 Q 4","2019/Dec","1044 - PT mujeres totales",2434296,1903250,2279503,1207466,7824515,
"2019","2019 Q 4","2019/Nov","1044 - PT mujeres totales",2477154,1939188,2313048,1219842,7949232,
"2019","2019 Q 4","2019/Oct","1044 - PT mujeres totales",2460494,1934882,2295023,1207805,7898204,
"2019","2019 Q 3","2019/Sep","1044 - PT mujeres totales",2441739,1921461,2268804,1193591,7825595,
"2019","2019 Q 3","2019/Aug","1044 - PT mujeres totales",2420431,1906665,2242829,1185618,7755543,
"2019","2019 Q 3","2019/Jul","1044 - PT mujeres totales",2408834,1899194,2235509,1178983,7722520,
"2019","2019 Q 2","2019/Jun","1044 - PT mujeres totales",2408554,1890489,2237283,1184577,7720903,
"2019","2019 Q 2","2019/May","1044 - PT mujeres totales",2404053,1889938,2237826,1182710,7714527,
"2019","2019 Q 2","2019/Apr","1044 - PT mujeres totales",2384648,1881621,2240804,1182444,7689517,
"2019","2019 Q 1","2019/Mar","1044 - PT mujeres totales",2376169,1879647,2237065,1176169,7669050,
"2019","2019 Q 1","2019/Feb","1044 - PT mujeres totales",2365171,1874983,2218713,1170125,7628992,
"2019","2019 Q 1","2019/Jan","1044 - PT mujeres totales",2352343,1863183,2202270,1162322,7580118,
"2018","2018 Q 4","2018/Dec","1044 - PT mujeres totales",2366327,1850636,2190966,1166467,7574396,
"2018","2018 Q 4","2018/Nov","1044 - PT mujeres totales",2404513,1885203,2223361,1178537,7691614,
"2018","2018 Q 4","2018/Oct","1044 - PT mujeres totales",2383095,1877367,2199452,1167981,7627895,
"2018","2018 Q 3","2018/Sep","1044 - PT mujeres totales",2362225,1859146,2178157,1154614,7554142,
"2018","2018 Q 3","2018/Aug","1044 - PT mujeres totales",2343807,1844322,2152215,1147077,7487421,
"2018","2018 Q 3","2018/Jul","1044 - PT mujeres totales",2329790,1828824,2138198,1139966,7436778,
"2018","2018 Q 2","2018/Jun","1044 - PT mujeres totales",2321923,1823905,2137638,1142775,7426241,
"2018","2018 Q 2","2018/May","1044 - PT mujeres totales",2315223,1818246,2140076,1138836,7412381,
"2018","2018 Q 2","2018/Apr","1044 - PT mujeres totales",2308406,1811435,2131105,1137147,7388093,
"2018","2018 Q 1","2018/Mar","1044 - PT mujeres totales",2291230,1801024,2128054,1128822,7349130,
"2018","2018 Q 1","2018/Feb","1044 - PT mujeres totales",2278354,1790028,2107517,1122088,7297987,
"2018","2018 Q 1","2018/Jan","1044 - PT mujeres totales",2258857,1769568,2092789,1113888,7235102,
"2017","2017 Q 4","2017/Dec","1044 - PT mujeres totales",2264821,1755466,2087524,1117786,7225597,
"2017","2017 Q 4","2017/Nov","1044 - PT mujeres totales",2296429,1789105,2115066,1130170,7330770,
"2017","2017 Q 4","2017/Oct","1044 - PT mujeres totales",2279396,1777781,2097537,1116277,7270991,
"2017","2017 Q 3","2017/Sep","1044 - PT mujeres totales",2258429,1763276,2070319,1101851,7193875,
"2017","2017 Q 3","2017/Aug","1044 - PT mujeres totales",2242612,1746876,2041330,1093840,7124658,
"2017","2017 Q 3","2017/Jul","1044 - PT mujeres totales",2234456,1732902,2024989,1087474,7079821,
"2017","2017 Q 2","2017/Jun","1044 - PT mujeres totales",2229206,1728836,2024248,1089503,7071793,
"2017","2017 Q 2","2017/May","1044 - PT mujeres totales",2214172,1718583,2013598,1083185,7029538,
"2017","2017 Q 2","2017/Apr","1044 - PT mujeres totales",2206208,1709450,2015554,1081522,7012734,
"2017","2017 Q 1","2017/Mar","1044 - PT mujeres totales",2202209,1706165,2004610,1076463,6989447,
"2017","2017 Q 1","2017/Feb","1044 - PT mujeres totales",2188184,1692515,1982257,1067681,6930637,
