"Salario diario hombres",,,,"CENTRO","NORTE","OCCIDENTE","SUR","NACIONAL",
"2020","2020 Q 3","2020/Aug","Salario diario hombres",474.40,435.74,392.29,372.52,424.45,
"2020","2020 Q 3","2020/Jul","Salario diario hombres",475.82,438.40,393.39,372.83,425.94,
"2020","2020 Q 2","2020/Jun","Salario diario hombres",483.73,441.12,390.92,372.13,428.11,
"2020","2020 Q 2","2020/May","Salario diario hombres",486.31,443.50,391.22,373.67,429.74,
"2020","2020 Q 2","2020/Apr","Salario diario hombres",479.10,438.33,388.37,369.19,424.70,
"2020","2020 Q 1","2020/Mar","Salario diario hombres",472.38,432.56,385.24,363.98,419.37,
"2020","2020 Q 1","2020/Feb","Salario diario hombres",471.86,429.97,382.58,364.87,417.77,
"2020","2020 Q 1","2020/Jan","Salario diario hombres",469.73,427.62,382.43,363.89,416.40,
"2019","2019 Q 4","2019/Dec","Salario diario hombres",446.23,413.16,366.36,344.32,398.22,
"2019","2019 Q 4","2019/Nov","Salario diario hombres",442.00,409.80,364.26,343.47,395.42,
"2019","2019 Q 4","2019/Oct","Salario diario hombres",440.07,408.22,360.73,338.53,392.68,
"2019","2019 Q 3","2019/Sep","Salario diario hombres",441.52,409.56,362.25,339.82,394.15,
"2019","2019 Q 3","2019/Aug","Salario diario hombres",445.67,416.14,369.47,346.40,400.23,
"2019","2019 Q 3","2019/Jul","Salario diario hombres",446.42,417.77,370.11,347.74,401.27,
"2019","2019 Q 2","2019/Jun","Salario diario hombres",445.31,411.43,364.36,339.30,396.30,
"2019","2019 Q 2","2019/May","Salario diario hombres",446.48,412.38,364.52,340.48,397.05,
"2019","2019 Q 2","2019/Apr","Salario diario hombres",441.67,406.20,359.20,337.85,391.98,
"2019","2019 Q 1","2019/Mar","Salario diario hombres",441.25,404.85,358.17,337.37,391.10,
"2019","2019 Q 1","2019/Feb","Salario diario hombres",444.29,402.69,358.42,342.55,392.34,
"2019","2019 Q 1","2019/Jan","Salario diario hombres",442.24,400.72,357.51,341.84,390.89,
"2018","2018 Q 4","2018/Dec","Salario diario hombres",422.13,384.16,339.32,324.13,372.79,
"2018","2018 Q 4","2018/Nov","Salario diario hombres",418.82,381.54,337.99,323.29,370.66,
"2018","2018 Q 4","2018/Oct","Salario diario hombres",417.42,378.56,335.71,319.45,368.26,
"2018","2018 Q 3","2018/Sep","Salario diario hombres",418.64,379.63,337.31,320.58,369.56,
"2018","2018 Q 3","2018/Aug","Salario diario hombres",422.37,383.75,343.00,326.17,374.28,
"2018","2018 Q 3","2018/Jul","Salario diario hombres",423.77,385.64,344.38,327.71,375.85,
"2018","2018 Q 2","2018/Jun","Salario diario hombres",422.78,380.92,338.04,321.15,371.45,
"2018","2018 Q 2","2018/May","Salario diario hombres",423.41,380.85,338.07,320.70,371.47,
"2018","2018 Q 2","2018/Apr","Salario diario hombres",417.55,372.55,333.89,316.67,365.69,
"2018","2018 Q 1","2018/Mar","Salario diario hombres",418.37,372.22,333.13,317.67,365.73,
"2018","2018 Q 1","2018/Feb","Salario diario hombres",419.81,369.94,332.47,322.64,366.21,
"2018","2018 Q 1","2018/Jan","Salario diario hombres",416.91,368.76,331.61,321.93,364.67,
"2017","2017 Q 4","2017/Dec","Salario diario hombres",400.69,359.41,321.15,309.53,352.57,
