"Salario diario mujeres",,,,"CENTRO","NORTE","OCCIDENTE","SUR","NACIONAL",
"2020","2020 Q 3","2020/Aug","Salario diario mujeres",427.13,361.48,337.49,340.65,371.55,
"2020","2020 Q 3","2020/Jul","Salario diario mujeres",427.33,362.83,337.94,339.42,371.96,
"2020","2020 Q 2","2020/Jun","Salario diario mujeres",434.89,365.25,336.73,335.42,373.98,
"2020","2020 Q 2","2020/May","Salario diario mujeres",434.29,365.28,336.61,334.20,373.56,
"2020","2020 Q 2","2020/Apr","Salario diario mujeres",428.98,361.81,335.06,331.28,370.00,
"2020","2020 Q 1","2020/Mar","Salario diario mujeres",423.71,359.01,333.37,328.83,366.95,
"2020","2020 Q 1","2020/Feb","Salario diario mujeres",421.13,355.18,329.09,336.37,365.08,
"2020","2020 Q 1","2020/Jan","Salario diario mujeres",419.41,352.01,328.43,335.43,363.50,
"2019","2019 Q 4","2019/Dec","Salario diario mujeres",398.05,338.85,313.60,312.05,345.87,
"2019","2019 Q 4","2019/Nov","Salario diario mujeres",395.52,336.39,312.10,311.82,344.07,
"2019","2019 Q 4","2019/Oct","Salario diario mujeres",393.97,335.17,308.85,307.42,341.69,
"2019","2019 Q 3","2019/Sep","Salario diario mujeres",394.73,335.69,309.74,308.02,342.47,
"2019","2019 Q 3","2019/Aug","Salario diario mujeres",397.85,338.76,313.83,313.07,346.16,
"2019","2019 Q 3","2019/Jul","Salario diario mujeres",398.94,339.84,314.36,314.30,347.08,
"2019","2019 Q 2","2019/Jun","Salario diario mujeres",399.54,337.36,311.46,305.50,344.48,
"2019","2019 Q 2","2019/May","Salario diario mujeres",400.67,338.09,312.23,306.99,345.44,
"2019","2019 Q 2","2019/Apr","Salario diario mujeres",397.98,336.79,311.05,305.77,343.61,
"2019","2019 Q 1","2019/Mar","Salario diario mujeres",397.08,335.46,310.24,305.35,342.69,
"2019","2019 Q 1","2019/Feb","Salario diario mujeres",397.63,330.41,307.91,315.65,342.54,
"2019","2019 Q 1","2019/Jan","Salario diario mujeres",396.14,328.93,306.86,315.50,341.41,
"2018","2018 Q 4","2018/Dec","Salario diario mujeres",377.67,313.66,289.62,295.27,323.97,
"2018","2018 Q 4","2018/Nov","Salario diario mujeres",376.41,312.01,288.97,295.07,322.98,
"2018","2018 Q 4","2018/Oct","Salario diario mujeres",376.55,309.34,287.54,290.47,321.26,
"2018","2018 Q 3","2018/Sep","Salario diario mujeres",377.40,309.78,288.62,291.65,322.15,
"2018","2018 Q 3","2018/Aug","Salario diario mujeres",380.59,311.38,291.69,300.20,325.76,
"2018","2018 Q 3","2018/Jul","Salario diario mujeres",381.09,312.32,292.52,301.06,326.52,
"2018","2018 Q 2","2018/Jun","Salario diario mujeres",381.28,310.48,288.99,289.64,323.33,
"2018","2018 Q 2","2018/May","Salario diario mujeres",382.34,311.40,289.46,290.86,324.17,
"2018","2018 Q 2","2018/Apr","Salario diario mujeres",378.35,307.61,289.42,289.99,321.85,
"2018","2018 Q 1","2018/Mar","Salario diario mujeres",378.54,307.01,288.93,290.36,321.62,
