"1268 - Puestos de trabajo (PT)",,"CENTRO","NORTE","OCCIDENTE","SUR","NACIONAL",
"2020","2020/Nov",5887451,5207160,5839477,3117464,20051552,
"2020","2020/Oct",5847809,5172365,5798184,3084475,19902833,
"2020","2020/Sep",5785464,5131825,5730102,3054801,19702192,
"2020","2020/Aug",5772235,5098141,5672547,3045419,19588342,
"2020","2020/Jul",5761501,5053502,5642778,3038171,19495952,
"2020","2020/Jun",5771827,5024508,5646600,3056924,19499859,
"2020","2020/May",5784173,5043616,5681355,3074026,19583170,
"2020","2020/Apr",5878589,5116395,5776365,3156347,19927696,
"2020","2020/Mar",6049390,5240506,5918293,3274754,20482943,
"2020","2020/Feb",6071290,5268809,5944010,3329427,20613536,
"2020","2020/Jan",6045600,5245175,5888864,3310758,20490397,
"2019","2019/Dec",6075033,5202306,5842757,3301346,20421442,
"2019","2019/Nov",6196511,5311713,5943012,3352416,20803652,
"2019","2019/Oct",6169905,5310670,5921962,3324887,20727424,
"2019","2019/Sep",6127093,5285960,5861902,3292471,20567426,
"2019","2019/Aug",6085231,5258788,5803562,3274429,20422010,
"2019","2019/Jul",6071204,5254451,5793471,3266253,20385379,
"2019","2019/Jun",6068753,5235457,5796200,3268256,20368666,
"2019","2019/May",6064499,5232228,5810069,3276114,20382910,
"2019","2019/Apr",6037068,5227333,5828864,3285662,20378927,
"2019","2019/Mar",6016144,5228106,5832564,3271694,20348508,
"2019","2019/Feb",6003514,5225707,5803718,3267054,20299993,
"2019","2019/Jan",5973193,5195754,5753803,3251261,20174011,
"2018","2018/Dec",5984800,5151565,5705105,3237895,20079365,
"2018","2018/Nov",6113398,5249832,5803324,3291372,20457926,
"2018","2018/Oct",6087690,5235865,5765123,3267501,20356179,
"2018","2018/Sep",6037507,5197477,5717915,3240061,20192960,
"2018","2018/Aug",6004924,5172594,5660418,3225497,20063433,
"2018","2018/Jul",5984760,5132016,5629320,3203148,19949244,
"2018","2018/Jun",5956857,5117365,5625219,3195134,19894575,
"2018","2018/May",5948391,5116910,5640574,3202197,19908072,
"2018","2018/Apr",5935751,5105137,5627382,3205836,19874106,
"2018","2018/Mar",5892162,5083090,5631391,3180354,19786997,
"2018","2018/Feb",5873042,5065408,5585766,3172272,19696488,
"2018","2018/Jan",5822085,5014470,5546416,3149206,19532177,
"2017","2017/Dec",5813259,4959806,5509551,3135839,19418455,
"2017","2017/Nov",5913652,5058499,5599664,3184176,19755991,
"2017","2017/Oct",5884589,5028477,5564163,3146445,19623674,
"2017","2017/Sep",5827987,4992045,5498748,3110136,19428916,
"2017","2017/Aug",5803610,4963264,5430031,3095960,19292865,
"2017","2017/Jul",5775429,4935164,5384268,3077361,19172222,
"2017","2017/Jun",5753947,4922217,5385979,3071915,19134058,
"2017","2017/May",5720638,4898882,5363565,3064740,19047825,
"2017","2017/Apr",5700675,4878411,5375398,3066599,19021083,
"2017","2017/Mar",5694991,4872950,5364773,3061604,18994318,
"2017","2017/Feb",5660302,4839333,5308165,3046171,18853971,
"2017","2017/Jan",5620663,4795352,5255888,3028013,18699916,
"2016","2016/Dec",5614376,4755669,5226564,3020015,18616624,
"2016","2016/Nov",5707804,4850355,5309775,3067907,18935841,
"2016","2016/Oct",5677831,4820498,5260277,3039348,18797954,
"2016","2016/Sep",5625423,4790856,5196683,3013440,18626402,
"2016","2016/Aug",5574757,4756473,5135461,2999536,18466227,
"2016","2016/Jul",5548615,4719046,5102277,2978193,18348131,
"2016","2016/Jun",5522442,4719480,5096917,2987232,18326071,
"2016","2016/May",5496326,4692461,5080788,2988227,18257802,
"2016","2016/Apr",5477964,4681220,5082446,2995838,18237468,
"2016","2016/Mar",5447727,4655926,5058755,2992498,18154906,
"2016","2016/Feb",5435403,4645702,5022591,2991798,18095494,
"2016","2016/Jan",5389092,4604822,4983832,2975457,17953203,
"2015","2015/Dec",5380674,4575544,4953844,2973971,17884033,
"2015","2015/Nov",5486627,4661021,5019938,3020161,18187747,
"2015","2015/Oct",5445682,4637731,4975502,2996553,18055468,
"2015","2015/Sep",5401767,4604100,4930324,2972798,17908989,
"2015","2015/Aug",5376495,4569477,4880736,2964637,17791345,
"2015","2015/Jul",5357139,4545875,4862301,2953671,17718986,
"2015","2015/Jun",5328620,4534094,4858279,2953302,17674295,
"2015","2015/May",5288829,4510343,4844085,2952603,17595860,
"2015","2015/Apr",5281729,4499649,4852594,2969343,17603315,
"2015","2015/Mar",5262768,4477223,4840196,2958011,17538198,
"2015","2015/Feb",5230628,4448224,4806485,2947725,17433062,
"2015","2015/Jan",5189123,4415118,4766069,2929061,17299371,
"2014","2014/Dec",5187491,4388155,4736286,2927655,17239587,
"2014","2014/Nov",5268395,4454063,4793588,2959031,17475077,
"2014","2014/Oct",5231770,4434067,4758206,2928184,17352227,
"2014","2014/Sep",5180350,4397458,4701341,2900944,17180093,
"2014","2014/Aug",5137655,4364206,4636584,2885216,17023661,
"2014","2014/Jul",5125673,4339170,4621120,2880009,16965972,
"2014","2014/Jun",5110080,4328868,4612451,2877116,16928515,
"2014","2014/May",5087458,4317421,4603582,2876759,16885220,
"2014","2014/Apr",5057926,4298357,4594477,2886607,16837367,
"2014","2014/Mar",5036455,4276337,4596210,2872323,16781325,
"2014","2014/Feb",5008039,4250053,4550539,2863968,16672599,
"2014","2014/Jan",4972892,4216342,4510878,2846928,16547040,
"2013","2013/Dec",4980537,4197109,4495243,2852172,16525061,
"2013","2013/Nov",5069343,4262320,4555900,2885408,16772971,
"2013","2013/Oct",5032054,4238463,4526912,2855007,16652436,
"2013","2013/Sep",4999348,4206812,4475022,2827663,16508845,
"2013","2013/Aug",4973007,4186501,4436490,2818907,16414905,
"2013","2013/Jul",4956175,4168951,4434259,2803347,16362732,
"2013","2013/Jun",4945848,4168319,4436325,2806929,16357421,
"2013","2013/May",4937297,4167722,4433332,2816551,16354902,
"2013","2013/Apr",4916053,4164582,4439512,2827826,16347973,
"2013","2013/Mar",4888151,4142896,4438164,2811868,16281079,
"2013","2013/Feb",4867626,4136595,4415767,2807097,16227085,
"2013","2013/Jan",4832720,4109767,4374917,2788808,16106212,
"2012","2012/Dec",4839400,4085581,4349769,2787293,16062043,
"2012","2012/Nov",4909112,4149594,4416207,2820023,16294936,
"2012","2012/Oct",4884232,4128516,4380168,2789492,16182408,
"2012","2012/Sep",4833574,4101703,4338692,2759126,16033095,
"2012","2012/Aug",4802639,4078051,4300848,2738718,15920256,
"2012","2012/Jul",4783640,4055056,4289908,2720623,15849227,
"2012","2012/Jun",4761292,4046938,4283495,2715105,15806830,
"2012","2012/May",4721155,4028615,4272112,2709674,15731556,
"2012","2012/Apr",4704838,4000222,4287111,2713988,15706159,
"2012","2012/Mar",4688690,3985481,4303915,2717593,15695679,
"2012","2012/Feb",4653549,3955729,4259436,2694880,15563594,
"2012","2012/Jan",4618779,3920222,4220166,2668692,15427859,
"2011","2011/Dec",4610680,3897824,4190885,2650946,15350335,
"2011","2011/Nov",4680589,3956242,4248469,2664867,15550167,
"2011","2011/Oct",4647366,3939878,4219769,2638514,15445527,
"2011","2011/Sep",4608973,3913342,4183493,2609843,15315651,
"2011","2011/Aug",4573796,3887166,4145991,2595227,15202180,
"2011","2011/Jul",4553252,3860690,4135614,2581776,15131332,
"2011","2011/Jun",4536341,3851952,4121360,2580707,15090360,
"2011","2011/May",4514998,3846346,4121278,2568188,15050810,
"2011","2011/Apr",4498891,3834532,4113029,2576136,15022588,
"2011","2011/Mar",4480199,3830360,4112895,2580048,15003502,
"2011","2011/Feb",4445224,3793524,4087188,2567882,14893818,
"2011","2011/Jan",4412452,3767854,4059480,2547654,14787440,
"2010","2010/Dec",4421157,3750740,4024949,2541937,14738783,
"2010","2010/Nov",4486876,3812070,4090081,2576598,14965625,
"2010","2010/Oct",4441999,3789641,4055244,2543097,14829981,
"2010","2010/Sep",4396797,3763573,4025628,2515489,14701487,
"2010","2010/Aug",4374532,3734692,3976321,2508434,14593979,
"2010","2010/Jul",4348040,3710443,3964770,2495142,14518395,
"2010","2010/Jun",4332130,3700239,3957306,2490580,14480255,
"2010","2010/May",4310151,3680969,3955400,2487432,14433952,
"2010","2010/Apr",4286382,3666129,3961860,2494571,14408942,
"2010","2010/Mar",4257853,3637187,3955248,2490768,14341056,
